text,label
"@Abdulazizfawzan ههه عذر اقبح من ذنب ترى مو مضطر تروح بمكان فيه اختلاط نساء عرايا عشان تستلم جائزة كان بإمكانك تعتذر والجائزة توصلك لمكانك 😏 Mar 08, 2017 ",anger
"@Dr3li2 @azmis8 @tratil_hlm لعن الله ابو من علمك الدين 😹👊🏻 صدق ربي لما قال "" الأعراب اشد كفراً و نفاقاً و أجدر ألا… https://t.co/NmRC1XDloD May 10, 2017 ",anger
"#بعد_ماعرفتك_عرفت ان فئة الحمير السفلة يظنون اذا تعاملت معاهم بأدب واحترام هذا ضعف ماينفع مع هالفئة الحقيرة الا التعامل معاهم بنفس بذائتهم May 10, 2017 ",anger
"@osos6633 @arabqoute هه وهذا يناقض قوانينك الكونية 😌 القانون الكوني الحقيقي ان الانسان ذو الخصال الحميدة هو مطلب سواء كان انثى او ذكر Feb 18, 2017 ",anger
"#البازعي_تحريم_الموسيقي_تطرف لان عيونهم عوراء يرون حرمة الميوزك اشد من حرمة اكبر الكبائر ""الربا"" البنوك الربوية ماشية زي الحلاوة في البلد 🤔 May 12, 2017 ",anger
"@hibaalmidlij @nadia_almobark #لاازم_تدري ان الي يتبچبچ ومشاعرها الفياضة هالشكل الاغلب انه مسود عيشتها بحياتها 😒 Feb 18, 2017 ",anger
"#قيادة_المرأة_للسيارة بنغالي يتحرش بطفل كم من طفل هدده السواق ليمكنه من نفسه مفترض انامثل دول الخليج الام توصل اطفالها… https://t.co/elQAph9WI8 Feb 28, 2017 ",anger
"@nadiahnadoshah @nooly1989 @_Areej_ @Ahmadooovich بالنسبة للتكافل يتكافلون على ديات المجرمين هياطاً لكن يساعدون فقر… https://t.co/QhabnMFPAV Feb 03, 2017 ",anger
"@Saudi_woman1 @SherenAlsalmi @HADL0L هذا بحالة لو كانوا بنفس المستوى لكن واحد اقل تعليميا ياخذ وظيفة بقوة الوساطة هذا اسمه فساد مو رزق حلال Oct 27, 2016",anger
"@OmKhakho بالضبط يمدح اخلاق الكفار و يذم اخلاق ابناء بلده احفاد الصحابة Mar 08, 2017 ",anger
"@hfc_bar1 الله يااااااااخذك يا زبال قسم بالله حطيتني بموقف خايس May 18, 2017 ",anger
"@hfc_bar1 الله يلعنك في كل كتاب ياشيخ امي وابوي جنبي May 18, 2017 ",anger
والله معصبه صورنا صورة بالكاميرا الفوريه وشكلي طالع خايس مرا اكرهكم,anger
يا الله من القهر صحيت الصبح وشفت شنب سيمبا مقصوص مرا معصبة,anger
اف معصبه مرا ابغى ادعسها ما امزح,anger
معصبه مو طبيعي عشرين الف مرا صحيت اكره نومي,anger
ياناس والله انا بديت افقد اعصابي بسبب البشر وش كل هالتجاهل واللامبالاه لييه قسم بالله شي يعصب,anger
واللي يكرهك زياده ويخليك تبغض الدراسه اكثر معلمات مايعرفون شي اسمه الاحترام الدفاتر اكثر من الكتب مشاريع ماتنتهي هذا كله ياعزيزي القارئ غير القدرات والتحصيلي ولازم ننتبهه للتراكمي اقسم بالله شي يعصب وضغط نفسي صارت الثانويه زيها زي الجامعه واخس,anger
امي وابوي للحين يتهاوشون على مدرستي واي مدرسه اروح ومابقى شي وتخلص السنه وامي تقول لابوي انا بوديها وابوي يعصب وعلى هالحال كل يووم,anger
يعصب كيف تقولي تكره شي وهي تسوي اكثر شي اكرهه ويأذيني,anger
أسهل شي إنك تتجاوز أحمد حجازي بس جمهور الاتحاد نافخ فيه لأنه يعصب,anger
"@h_jarrهؤلاء ماغير الاسلام عقليتهم الجاهلية اتجاه المرأة الفرق كانوا يقتلونها ربي وصف موقفهم اذا بشر احدهم بالانثى الانثى عندهم يعني عار May 08, 2017 ",anger
و في كل مرا حد يتكلم عن الموضوع احس اني اكره شخص و اني مستفز لدرجه اعطيه الحق,anger
"@azizrash1 اها وتبني ارائك بتعميم نمط فئة على كل النساء والقذف على مجرد توقعات القذف زي السلام عليكم عندكم احب اذكرك https://t.co/Jfskr05ahg May 08, 2017 ",anger
"#نطالب_بسجن_ابو_زقم سوقهم ماشي عندنا كل من هب و دب عوير و زوير والي مافيه خير يطول لحيته بس ويقصر ثوبه ويعتلي المنبر https://t.co/2IKMHc4bAd May 08, 2017 ",anger
وجع مرا اكره الاشخاص الي كذا,anger
"@rsad_ksaاها يعني نسائك بهايم مايردعهم لا دين ولا اخلاق ينتهزون فرصة خروجهم للدعارة والفساد ؟! ترى مو كل الناس مثلكم الحمدلله على نعمة العقل May 08, 2017 ",anger
"#نطالب_بسجن_ابو_زقم صالح الفوزان قال اذا قادت المرأة السيارة ستذهب لعشيقها يفكرون بنفس طريقة تفكير اهل الجاهليةينظرون للانثى انها جالبةللعار May 08, 2017 ",anger
"@Ahmed_AL_aryani @0101App @saroonahilal54 كل الفقارى قادرين يشترون سيارة رخيصة ومو كل الناس يقدرون يدفعون رواتب ومصاريف حق سواقين يادلخ May 08, 2017 ",anger
"#نطالب_بسجن_ابو_زقم مدري ليش الحكومةماتشوف لها شوفه بهؤلاء الرعاع 😑 كل من ربى له لحية وقصر ثوبه عطوه مجال ومنبر يطعن في اعراض ودين خلق الله May 08, 2017 ",anger
"#نطالب_بسجن_ابو_زقم متحرش لوطي شلون الاهالي يسمحون لابنائهم المراهقين الذهاب لمخيمات هالخمام و يسمعون هالكلام الشاذ😳 https://t.co/SzcmjrIjew May 08, 2017 ",anger
"ماطرينا المنيع الانتقادموجه عالمتناقض شغال تفسيق بكل محفل اكاديمي يقام بحجةالاختلاط وهوحضرحفلةعراياعشان جائزة… https://t.co/KtMIuilFXE Mar 08, 2017 ",anger
اليوم عصبت من مادة ورحت حذفتها لو عصبت مرا ثانيه احتمال احذف الترم بكبره,anger
يعع متى بنخلص من سالفة التحجر والقبائل وجعع مرا عصبت,anger
"#لاازم_تدري انهم يشغلون الناس بعيشتهم عشان محد يبطل حلجة بكلمة https://t.co/IeGkonUF62 Feb 17, 2017 ",anger
"@L1Noo11 @su_5322 @antime50 المعارضين الانانيين مستحيل يستغنون عن سياراتهم لو اسبوع شلون دوام شهور وسنين بس النار ماتحرق الا رجل واطيها Feb 17, 2017 ",anger
"@TOP2080 @saad_alsuraihi @ma573573 لانه حس بمعاناة النساء صار بنظرك قليل عقل وسخيف ! لا والله هذا يدل على انك من فئ… https://t.co/gWWpWKtWCr May 07, 2017 ",anger
مود المعلمه عصبت تقول اللي ما تشارك بطلعها و طردتنا من الحصه كل دقيقة نعاندها و ندخل و هيا تطرد متت ياربي عصبت مرا,anger
"#بذاءه_راكبه_كريم_ضد_سعودي نطالب بتأنيث كريم و اوبر May 07, 2017",anger
"الاقارب عقارب خاصة اذا كان فيه مشاكل سابقة واحقاد ع اقل سبب طلعت الملفات القديمة هالزواج يصير فرصة للتنفيس والانتقام #وش_رايك_بزواج_الاقارب May 06, 2017 ",anger
"الحمدلله #تمكين_المراه_بلا_ولي اول حسبي الله على من ابتدع ولاية الامر على المرأة الراشدة وتسبب بضياع الحقوق يعله بالدرك الاسفل من النار 💦👡 May 04, 2017 ",anger
"عندهم الغاية تبرر الوسيلة يكذبون ينافقون يفعلون مايحذرون منه وبكل صفاقة ووقاحة يبررون انه في سبيل الاسلام… https://t.co/NxfTyjDsSM Mar 08, 2017 ",anger
احس اني عصبت مرا وطز بروح انام,anger
"@ali_majrashi @video_24 @Akhbaar24 رد على نفسه بالاخير واعترف ان الانسان دجال مجرم ومزور ، اذاً فالقطط ارواح بريئة ماتعمل عمايل البشر May 01, 2017 ",anger
"@L1Noo11 @MoOoOHamAd100 دواعش تكفيريين ماعليهم شرهه Apr 28, 2017 ",anger
الموضوع مرا يقهر,anger
"@BahthAhmadShykh @MohamadAlarefe ترى حتى المسحيين عندهم مذاهب الكاثوليك يعتبرون متعصبين ولا تقعد تبربر الله اعلم فيهم وذكرهم بالقران Jan 31, 2017 ",anger
"#شرفك_باخلاقك_ليس_بالمراه فشلونا هالمفاجيع مايسافرون ديرة الا تزوجوا بنّية الطلاق والبنت واهلها مأمنين له ع اساس ان… https://t.co/sYFEScDX5b Jan 31, 2017 ",anger
اقسم بالله شي يقهر ويعصب يوم تبرر لاحد مايرضى يستوعب الا الي يبغاه,anger
"دول الجوار نسائهم حققوا انجازات بقيادة طائرات حربية و مدنية واحنا مازلنا نطالب بأبسط حق محرومين منه… https://t.co/GIyQTnD3H5 Mar 07, 2017 ",anger
"@muhaalz خل ينصدمون اذا شافوا بأم عينهم الواقع المرير الحقيقي عشان عقولهم تستوعب بدل مايضيعون وقت بالرفض الغير مبرر 😤 Mar 06, 2017 ",anger
شعور يقهر ويعصب لما تكون صادق مع شخص ويكذبك,anger
"@L1Noo11 الصحوة عشعشت وفرخت ظلاميين ودواعش مثل الي يربي له افعى و في النهاية تقضي على صاحبها الي مربيها Apr 22, 2017 ",anger
شي يقهر ويعصب وينرفز اذوب شوكلاتة وتجي عليها موية يالقهر اوف,anger
"#فواحش_وفساد_في_المستشفيات احنا لو الله يخلصنا من المستطوعين الاستطواع الكلبي مثل بن فروة و طقته الي القذف عندهم زي… https://t.co/VGjFc79cot Apr 12, 2017",anger
حسبي الله ونعم الوكيل والله شي يقهر ويعصب زوار البيت الحرام من كل فوج يأتوا بالله تقابلهم هذه المناظر المقرفة في طريق جدة مكة,anger
"#ياملكنا_هييه_الترفيه_تدمرنا ونقول من طلعوا لنا داعش 🤔 لا بد من تطهير و غربلة هيئات التدريس المسممين بالفكر الداعشي https://t.co/5aVesSQDgW Apr 09, 2017 ",anger
"@ryof1x1 @a_aA15 الله ياخذ وجهه الي كنه وجه غراب اما انه يتكفل بمشاوير المطلقات والارامل او يحشى حلجه تبن وينطم #قيادة_المرأة Apr 09, 2017 ",anger
حفقد أعصابي اقسم بالله حيصير معي إنهيار,anger
"@Faisal_1895 @2shwadz_ali @ahmadsyry682 @sheboooon @zozy_o1 @AbuElbanaat علاوة على داعشيتك جااهل داهية تاخذكم مليتوا البلد Jan 31, 2017 ",anger
"#قيادة_المرأة_للسيارة لعنة الله على الديوثين يعارضون القيادة النسائية ويسمحون لاختلاء الداعرين بالنساء لتوصيلهن مش… https://t.co/r7ujuZfWGY Mar 06, 2017",anger
"@Akhbaar24 سبب تافه للطلاق وهي سخيفة بعد اجل تمنعه عشان تصور حق سناب خيررر حتى آنا اذا كنت جوعانة اتحول الى وحش كاس… https://t.co/Irs2943K9v Feb 08, 2017 ",anger
إذا جاء العيد و الوضع زي ما هوا حفقد أعصابي للأن ماسكتها أنا ترى,anger
"@4_mysterious ليش مسوين تمثال حق هلي ينرفز 😖 https://t.co/Dl1h3iQHgN Feb 07, 2017",anger
"@hhhjfgn1 طالما انك تقذف المطالبين بالقيادة النسائية فهاهو اتاك الرد بنفس منطقك والان توكل مالي خلقك مصيرك بترضخ للامر ويصير الامر عادي 😌 Jan 30, 2017 ",anger
"@hhhjfgn1 والله اذا انت شايف خواتك ونسائك بينفلتون اذا ساقوا سياراتهم لا تحسب الناس مثل نسائك وكلن يرى الناس من منظور بيئته الي تربى عليها . Jan 30, 2017 ",anger
"@abnalmerqab حسبي الله عليهم 😡 Mar 05, 2017 ",anger
يا رب هالبني ادمة تعتقني وترحمني لأنه حفقد اعصابي قريبًا,anger
اعظم فيلم شفتوه من سمح لسبيس تون يغيرون دبلجة توم سوير غضب,anger
"@li8_of_iz @AlsharqiyaCafe الشرهه مو عليهم الشرهه على الي مسلمهم تسجيل الوظائف Mar 05, 2017 ",anger
حفقد أعصابي,anger
حفقد اعصابي بي سبب تشيلسي,anger
حفقد اعصابي واخلاقي مره وحده هذي الأيام,anger
"@raooa457 @fataimahkoko اجل اكلي خرا ياسفيهة يا ناقصة العقل مو كل النساء عندهم اباء يوصلونهم Mar 04, 2017 ",anger
أنا حاسس إني حفقد أعصابي خلاص,anger
"#سعوديات_نطلب_اهليه_كامله ام تعيل ابنائها سجلت بمسكن طلبوامنها صك اعالة وشهود ومزكين بينما الاب المتخلي عنهم يستفيد من ورى اسمائهم بكل بساطة Jan 30, 2017 ",anger
أصعب شي على الشخص العصبي انه يمسك أعصابه و ما يعصب,anger
"#كريم_تظلم_كباتنها مره حمارمن كباتن كريم سوى الحركةالوصخة يلفلف بالشوارع عشان يزيدالمبلغ وصلناوقيمته سيء بكل بجاحةمتصل يقول ليه قيمتيني سيء😕 Feb 07, 2017 ",anger
اقسم بالله شي يعصب لما اكون شايله هم احد اكتر منو انو هوا شايل همو وازن واقنع واتوتر واعصب على الفاضي الصببر,anger
مافي شي يعصب قد الي يقرا كلامك ويطنشك اقسم بالله شياطين قدامي لما تصير ليا,anger
"الكويتين اللي عندي بالمنشن وش وضعهم متى ياكلون تبن ، أقسم بالله شي يعصب وليتهم يعرفون يسولفون",anger
نومي ساير زي الزفت اقسم بالله ودا شي يعصب,anger
"@RashaSaad83 @hglphldd مرة و زميلتي نشكي لبعض معاناتنا بالمواصلات فجأة دخلت حرمة عرض قالت مانبي نسوق😡 مانصدق نلقى لنا شي نمسك به رجالنا😕 Feb 06, 2017",anger
اقسم بالله شي يعصب وينرفز ويفقع المراره ناس من بلدك يوقفو مع العدو الله يلعنكم كلهم شي يقهر حسبي الله عليكم يورينا ربي فيكم يوم,anger
"#بر_الزوج_اعظم_من_بر_الوالدين يامعتوه بمجرد ما اخلعه هالزوج يصير اجنبي ببنما امي وابوي مستحيل لانهم رابطة دم وقرابة 😌 Jan 29, 2017 ",anger
ضاربين بالتباعد الاجتماعي عرض الحائط وش هالوعي اقسم بالله شي يعصب,anger
"قاعدة اتناقش مع واحد من الي مخهم عبارة نعلة معفنه يقول الي تطالب ب #قيادة_المراه_للسيارة فاجرة مدري مين الي فهمه ان السواقين الاجانب محارم 🤔 Jan 27, 2017 ",anger
اقسم بالله مره يعصب وش ذا القاء اللوم عليها شي زقق,anger
"واجد من نفس نمونة هالاب ينتقم من طليقته بالوقوف حجر عثرة بطريق بناته بهالحالة الابناء الذكور اوفر حظ من البنات… https://t.co/WNsCasuXWf Jan 11, 2017 ",anger
"#انقذوا_بنات_مرشد_السويط الله المستعان ، الذكور يتزوجون من اي ملّة والاناث محجور عليهن ، واذاطالبن بحقهن الي كفله لهن الشرع قذفوا بعرضهن . Feb 04, 2017 ",anger
"حسبي الله عليهم هالعينات دسوا عاداتهم التي تدعوا لتحقير المرأة و التشكيك بأخلاقها وغلفوها بغلاف اسلامي… https://t.co/3La8mYBWEq Dec 07, 2016 ",anger
الله ياخذ الجامعه شي يخلي الواحد يعصب ويتنزفر ويطلعك من طورك اقسم بالله,anger
"@arza1990 @hammad676 @NoorSlamaa اما الذكر الي يستغل حاجة المرأة سواء مادياً او نفسيا بقصد الاضرار بالمرأة هذا ذكر وليس رجل 😏👋🏻 Mar 02, 2017 ",anger
"#اسطورتك_الكرويه_منذ_الصغر رجال عوود كان لاعب بنادي النصر اخرته ساكن بسيارة 😑 وين نفدي النصر و اهل الخير عنه 😠 https://t.co/BJSb5cmFhU Feb 25, 2017 ",anger
"@Aseri___ @amol1088 @Fno_Muhammad @pury66_a يتمخنث ويتكلم زوراً عن حقوق النساء يا كلب انت وياه وجاي تقول نشخصن !!! Feb 23, 2017 ",anger
"@amol1088 @Aseri___ @Fno_Muhammad @pury66_a مستخنث لعنة الله على المخنثين Feb 23, 2017 ",anger
"@7lm4321 @Wassef_0 المطلوب العدل بالعشرة و النفقة لكن الواقع ان اغلبهم مايعدلون لا بعشرة ولا بنفقة لا بد وحدة يكون لها ولعيالها نصيب الاسد😌 Feb 23, 2017 ",anger
"@t_donkeys الي عندنا مايطبقون السنة في اختيار المؤذنين باصوات حسنة يحطون مؤذن صوته بشع ويصرخ بالمكرفون اكيد النتيجة ازعاج Feb 23, 2017 ",anger
"@sa99899 @KSA24 قل اذا مات الديوثين الذين يستحبون اختلاء النساء مع السواقين 🙂 #قياده_المراه_اصبحت_قريبه #قيادة_المرأة_للسيارة Feb 21, 2017 ",anger
ترا الانفولو شي يغضب مرا,anger
"@L1Noo11 دياثة و عهر نعوذ بالله منهم 💦 Feb 20, 2017 ",anger
اكره العمل الجماعي كره مو طبيعي ماعندي مشكله اسوي العمل كله ولا تحطوني مع مجموعه كل واحد بزاويه يالله متعب مرا عقاب مب تكليف,anger
"غضب عارم من ثلاث نصراويين .. واحد مشى May 04, 2017",anger
"@ArabicBest حرائر مين والناس نايمين 🤔 خل عنك بس عبدات قالوا لهم صوتوا لولد القبيلة ورايحين يفزعون لولد قبيلتهم بالتصويت Nov 27, 2016 ",anger
"#تويتر_منبع_الفساد #عام_علي_فساد_الترفيه الي يكثر الحديث عن الفساد هو اصلاً فاسد ،،،، انتهى . May 08, 2017 ",anger
"من يعتقد ان بالامكان اجتثاث الدواعش من شمال العراق بلا خسائر انسانية مؤلمة وفادحة فهو حالم لا يمت للواقع بصلة فالحروب دائما وابدا قذرة May 25, 2016",anger
"#فضيحه_كوهين_والجواري ويبون الحكومه تسمع لمطالبهم عار على الامه هالاشكال عهر الحاد اجرام بحقوق الانسان الله لايقيم لكم امر ولا شأن ويخزيكم 😷 Apr 26, 2017",anger
"@arabqoute ضد ، فقد يكون أقرب الناس إليك أبعدهم عنك و يكون أبعدهم عنك أقربهم إليك فالقرب بالشعور لا بالحضور 👍🏻 May 01, 2017 ",Neutral
"@meess6286 لا المرقوق رقيق اما المطازيز العجينة ثخينة 😋😋 Jan 20, 2017 ",Neutral
"اكثر من اسبوع ماشفنا الشمس #امطار_الشرقيه Feb 16, 2017 
",Neutral
"@AliAlmansoor22 @L1Noo11 @Ilovethelife__ @raooa457 صحيح كلامك توه راد علي من حسابه الثاني شوف شلون راز الرقم باليوز… https://t.co/Jb9ceW7oAD Mar 04, 2017 
",Neutral
"تدل دربها 🌝 https://t.co/BuqoY7cCyh Sep 24, 2016",Neutral
"@muhaalz @ziadjouharji @SadikHadzovic الي بالفديو جسمه متناسق تبارك الرحمن ✋🏻 Sep 29, 2016",Neutral
"احنا محتفظين برقم سائق ميكرو سعودي الحمدلله ماضطرينا نركب معاه بالصدفة طلع لنا حسابه بتويتر حساب اباحي… https://t.co/cI02YvQemE Feb 04, 2017 ",Neutral
"@nadiahnadoshah @nooly1989 @_Areej_ @Ahmadooovich الله يهديچ هذي مالها علاقة بالقبلية 😄 مدري سمعتي العام بنزاع قبيلتين بمزايين الابل Feb 03, 2017",Neutral
"@ArafatAlamri شلون هالشكل 9 بقطر 🤔 Feb 03, 2017",Neutral
"@7lm4321 @A__H__4 @BahthAhmadShykh اعتقد حتى الشيخ الالباني الي انت تدرس احاديثه المصححة بالمدرسة قال ان وجه ليس بعورة 😏 Feb 02, 2017",Neutral
"@Farah_Arif شخبار سايلنت هيل الجديد مافي امل ينزل يعني او على الاقل مثله 😒 Jan 26, 2017 ",Neutral
"@ArafatAlamri سبحان الله صج برد حيل الله المستعان جمادة☃️ Feb 03, 2017 ",Neutral
"@fof91133 @Nihad_Nour تأكد واوصل لليقين بأن البنت لو تضمن ان هالشاب مابيرفض لها أي طلب (بالمعقول) او بيقدرها اقل شي… https://t.co/50kE1Kxo1t Oct 26, 2017",Neutral
هذا احنا نقضيها مشي كعابي ومحد تعرض لنا,Neutral
"@RanaAlir6717638 @han198400 نحارب معارضي #قيادة_المرأة_للسيارة بنفس سلاحهم 😌 Feb 10, 2017 ",Neutral
"@no0ofe333 @momo503noon @sadoomallhp @roroazotb3 @AL__Faa هذا اثبات انه حديث صحيح وواضح مايحتاج تفاسير 😘 Nov 02, 2016 ",Neutral
"@alfridiii شنهو هذا 😀 Oct 12, 2016",Neutral
"@khaled_f_alsaud انت ماتغرد الا كل سنة مرة 🤔 May 24, 2017 ",Neutral
"صح عليچ 👌🏻😹 #شروق_مطلقة https://t.co/PjPXOUB5Xu Jan 31, 2017 ",Neutral
مدري كيف انا استوعب رقتك ياسيد البيض,Neutral
"@muhaalz حتى الالياف ع حسب الموقع في ناس ركبوها ونفس الحالة Jan 31, 2017 ",Neutral
"@KEAlMarah اللهم آمين 👐🏻 May 25, 2017 ",Neutral
"@4_mysterious ما كأنها يابانية ملامحها صينية 🤔 May 25, 2017 ",Neutral
